@relation 'Textrunner Dataprocessor'

@attribute Right_Arg2_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute Is_Arg2_Proper_Noun {yes,no}
@attribute number_stopwords numeric
@attribute Is_Arg1_Proper_Noun {yes,no}
@attribute Left_Arg1_POStag {VBI,VBT,CDP,NULL,CC,CD,OD,DT,FW,IN,JJ,MD,NEG,NN,NNP,NND,PR,PRP,RB,RP,SC,SYM,UH,VB,WH,X,Z}
@attribute number_token numeric
@attribute classtarget {yes,no}

@data
SC,no,1,no,NULL,2,?
IN,no,1,no,VBT,3,?
NULL,no,3,no,NULL,5,?
NN,no,0,no,VBT,1,?
RB,no,1,no,CC,2,?
SC,no,0,no,IN,1,?
CDP,no,1,no,VBT,1,?
NULL,no,0,no,MD,2,?
IN,no,0,no,NULL,1,?
SC,no,0,no,NULL,1,?
SC,no,1,no,IN,2,?
VBI,no,0,yes,NULL,1,?
NULL,no,0,no,VBT,2,?
VBI,yes,0,no,VBT,1,?
NULL,no,0,yes,CC,1,?
NULL,no,0,no,CC,1,?
CDP,no,1,yes,NULL,1,?
NULL,no,3,no,NNP,5,?
NULL,yes,1,no,IN,1,?
NULL,no,0,no,CC,1,?
NULL,yes,0,no,NNP,1,?
NULL,yes,1,no,IN,4,?
SC,no,0,no,NULL,1,?
IN,no,1,no,IN,1,?
NULL,no,0,no,NULL,1,?
IN,no,1,no,NULL,2,?
RB,no,0,no,IN,2,?
IN,no,3,no,NULL,4,?
NULL,no,2,no,SC,2,?
NULL,yes,1,no,NULL,2,?
NULL,no,1,yes,VBT,2,?
VBT,no,2,no,IN,2,?
SC,no,0,no,SC,1,?
NEG,no,1,no,VBT,2,?
IN,no,3,no,CC,4,?
CC,no,0,no,IN,2,?
VBI,no,1,no,VBT,1,?
IN,no,0,no,NULL,1,?
NULL,no,2,no,NN,4,?
NULL,no,2,yes,NULL,8,?
NULL,no,1,no,CC,4,?
NULL,no,3,no,VBT,4,?
